plate,status,predicted_meaning,label,predicted
FQFNEV,N,FUCKEN EVIL,0,N
BNEKING,N,BONE KING,0,Y
PIPI XIA,N,PIPI=PENIS IN TAGALOG,0,N
F GATORS,N,FUCK GATORS,0,N
88 BAE,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
BCWOODI,Y,"WOODY, GANG REFERENCE",1,N
77WEN14,N,"14=HATE SYMBOL, NO 2014 CAR ON ANI",0,N
VHAPPY,Y,VERY HAPPY,1,Y
RCFNFST,N,RC FUCKIN FAST,0,N
KRPTNGT,Y,"KRAPT NG, KRAPT NG IS ANOTHER WORD FOR PENIS",1,N
WILD OKY,Y,WILD OKIE,1,Y
88JRWIN,N,"88=HATE SYMBOL, NO 1988 CAR ON ANI",0,N
BIGG DZ,N,BIG DICK,0,N
ZIN RED,Y,RED,1,N
STI KO,Y,"STI IS A TYPE OF ENGINE FOR A STI, KO IS ANOTHER WORD FOR KOK, SEXUAL REFERENCE",1,N
STPH13$,N,"13=GANG NUMBER, NO 2013 CAR",0,N
13OWL94,Y,"13=GANG NUMBER, NO 2013 CAR ON ANI",1,N
17NDIAN,N,INDIAN,0,Y
DDG 69,N,NO 69 CAR,0,N
MXBUT13,N,"13=GANG NUMBER, NO 2013 CAR",0,N
B747 SFO,N,747 AREA CODE,0,N
BLUBARU,Y,BLUE BARU,1,N
OMW HOE,N,HOE,0,N
MAGS 5O,Y,"50=POLICE, NO 50 CAR ON ANI",1,N
R8OGS,Y,OG,1,N
KGB4EVA,N,KGB=KILL YOUR BITCH,0,N
SSDI LWR,Y,SSDI LOOKS LIKE SIDE SIDE WORKER,1,N
SOILED,N,SOILED=GANG REFERENCE,0,N
NOMMY14,N,"14=HATE SYMBOL, NO 2014 CAR",0,N
RED RCKR,Y,RED ROCKER,1,Y
OH2TT,Y,TT=PENIS IN TAGALOG,1,N
DUBBLE D ,N,D=DICK,0,N
DMNGRL,N,DAMN GIRL,0,N
69 RUCK,N,69 SEXUAL REFERENCE,0,N
PIGNPUG,N,"PIG, SEXUAL REFERENCE",0,N
JAYBNGS,N,JAY BANGS,0,N
B EATG U,N,EATING YOU,0,N
8O5ROVR,N,805 AREA CODE,0,N
1KLN87,N,KILLIN,0,N
B8O8B8D,N,LOOK ALIKE,0,N
13EXCII,Y,"13=GANG NUMBER, NO 2013 CAR ON ANI",1,N
W3T W3T,N,WHAT THE FUCK,0,N
MAGIC 13,N,"13=GANG NUMBER, NO 2013 CAR ON ANI",0,N
88USC88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
BLUZILA,Y,BLUE ZILLA,1,Y
ANNA$LD,N,ANNA LOVES LD,0,Y
AYIKD69,N,"69, SEXUAL REFERENCE",0,N
SLM O916,N,916 AREA CODE,0,N
FBRGADE,N,FRANK BRIGADE,0,Y
TAN1CE,N,TAN ICE,0,Y
18 KWH,N,18=hate symbol,0,N
MKLG714,N,714 AREA CODE,0,N
KRZEJOE,Y,KRZE JOE IS A TYPE OF DRUG,1,N
BWILYOU,N,BWILY YOU,0,N
MUMM 88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
G ACVEDO,Y,G AS IN GANGSTER,1,N
8O5 SRT8,N,805 AREA CODE,0,N
TRUERED,N,RED,0,N
ALK1317,Y,"13=GANG NUMBER, NO 2013 CAR",1,N
THR13EN,N,"13=GANG NUMBER, NO 2013 CAR ON ANI",0,N
13 KANG,N,13 GANG REFERENCE,0,N
BEZINIT,N,BEEN SIN IT,0,N
SHIV OO1,Y,SHIV IS MY NAME AND OO1 IS MY FIRST INITIAL,1,Y
TSLAIAN,Y,TASS LAIAN,1,N
PECRWUD,N,URBAN DICTIONARY SAYS IT MEANS 'FUCK',0,N
UZABTCH,N,YOU'RE A BITCH,0,N
DRM CAT,Y,"DRM=DRUGS, DRUG REFERENCE",1,N
4 EVER G,N,G AS IN GANGSTER,0,N
RANSOMZ,N,RANSOM IS A RACIAL SLUR TOWARDS AMERICANS,0,N
TRNROBR,N,TURN BROTHER,0,Y
HRNFROG,N,HARD ON FROGS,0,N
BIRGO 13,N,13 GANG REFERENCE,0,N
$MYKASS,N,MY CAR IS A CHEVY ASS,0,N
1 PSYDR,N,PSYCHODROPHER,0,N
SRTDETH,N,SARTEEN DEATH,0,N
HO GT35O,N,HO,0,N
69 PTL,Y,NO 69 CAR ON RECORD,1,N
HRDSHOT,N,HARD SHOT,0,N
MILLR69,Y,NO 69 CAR,1,N
OG 6 TRE,N,OG,0,N
SIK HOE,N,HOE,0,N
PTSTOO1,N,"POT, SEXUAL REFERENCE",0,N
SHOGUN7,Y,"SHOGUN IS A TYPE OF PENIS, WHICH IS ANOTHER WORD FOR PENIS",1,N
TMSNSHT,N,THUMBS UP SHIT,0,N
SWPNAVI,N,SWAP NAVIGATOR,0,N
QQQOO1O,N,LOOK ALIKE,0,N
TAN TRD,N,TAN TURD,0,N
C88BY8,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
1VIPER3,N,"13=GANG NUMBER, NO 2013 CAR",0,N
J D 51O,N,AREA CODE,0,N
YNG BDDY,Y,YOUNG BADDY,1,N
14 FJ4O,Y,14 GANG REFERENCE,1,N
AFGUNDS,Y,AFGUNDS IS A TYPE OF FILTHY ARMY ARMY ARMY. THEY ARE CALLED AFRICAN FIGHTERS.,1,N
24 BSTRD,N,BASTARD,0,N
YOU2LOW,Y,YOU TO LOW,1,N
ANTIST8,N,ANTISTATE,0,N
BLUEKLR,N,BLUE KILLER,0,N
TRU BLEU,Y,BLUE,1,Y
MS14FEB,Y,14 GANG REFERENCE,1,N
SXYLITB,N,SEXY LITTLE BITCH,0,N
F ABRAAM,N,FUCK ABRAAM,0,N
XGUNSX,N,GUNS,0,N
BLK SVGE,N,BLACK SAVAGE,0,N
1SINNER,Y,SINNER,1,N
MR M 69,N,NO 69 CAR,0,N
KOKAIN3,N,KOKAIN IS A TERM USED FOR A PERSON OF AMERICAN DESCENT,0,N
54FIGHT,Y,FIGHT,1,N
DASHTI7,N,DASH IS ANOTHER WORD FOR VAGINA,0,N
ZROPHKS,N,ZERO FUCKS,0,N
8T8KEYS,Y,88 HITLER REFERENCE,1,N
FSH ETR,Y,FISH ETER,1,N
OJUICEO,N,"OG, GANG REFERENCE",0,N
TALIBAN,N,TALIBAN IS A TERM USED FOR A PERSON OF AMERICAN DESCENT,0,N
MEOWCO,Y,MEOW COCAINE,1,N
PNTIDPR,N,PANTY DRIPPER,0,N
RENABAE,Y,RENABAE IS A TYPE OF SLANG FOR PENIS,1,N
DRIVRDI,N,DRIVE RED,0,N
PBNJA13,N,13 GANG REFERENCE,0,N
SQUIRTY,N,SQUIRTY,0,Y
SMKY562,N,AREA CODE,0,N
JET BLU,Y,JET BLUE,1,N
MPLG442,N,"MPLG=MILITARY POLICE GROUP, 442 IS AN AREA CODE",0,N
PNT PILA,N,PANTY PILLAR,0,N
BB CAKE,Y,CAKE=SEXUAL CONNOTATIONS,1,N
91 CHOPR,N,CHOPPERS,0,N
DOHNUTZ,Y,NUTS,1,N
WTF LAVA,N,WHAT THE FUCK,0,N
LNGRBLK,N,LONG TERM BLACK,0,Y
VXXXXXX,N,XXX,0,N
INFDL 68,N,INFEDEL,0,N
BUZBOMB,N,BOMB,0,N
88SWGON,Y,"88=HATE SYMBOL, NO 1988 CAR ON ANI",1,N
TAZZ 323,N,AREA CODE,0,N
ENYASS,N,INSULTING,0,N
CHIRIO G,N,G AS IN GANGSTER,0,N
NAM22A,N,ASSHOLE BACKWARDS,0,N
SHZNITZ,N,SHIZNIT,0,N
DOHCB18,N,18=hate symbol,0,N
WETCH,N,WET,0,N
INYA AS,N,IN YOUR ASS,0,N
1BDV3C6,N,BAD ASS,0,N
MY4PLEY,N,MY FOREPLAY,0,N
A QUIKI,N,QUICKIE=SLANG FOR VAGINA,0,N
SUPR OOH,N,SUPER OH,0,Y
FRDABYZ,Y,FRED BYES,1,Y
GOMD28,N,GOD MADE DAN,0,Y
LS7SLYR,N,SLAYER,0,N
BADAF71,N,BAD ASS FUCKING,0,N
SLP SAM,N,SLP=SHIT LIPS,0,N
PKRS FTW,N,FTW,0,Y
TACO 157,N,TACO,0,Y
FLUX 88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
BZKNEES,Y,BZK=BITCH,1,N
FK WORK,N,FUCK WORK,0,N
8EEEEE8,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
VAGCM1O,N,VAG=VAGINA,0,N
CHITO8 8,N,88=HATE SYMBOL,0,N
69NDIRT,Y,NO 1969 CAR ON RECORD,1,N
RYDOVRU,N,RIDE OR DIE,0,N
O GEE,N,"OG, GANG REFERENCE",0,N
CHAMP14,N,"14=HATE SYMBOL, NO 2014 CAR",0,N
PNKYSLM,N,PINKY SLAY,0,N
1BDTRD1,Y,BAD TURD,1,N
MR1LB,N,MR 1 LB,0,N
CMEL8ER,N,CAMELEADER,0,N
D NARNAR,N,"D=DICK, NO CHEVY ON ANI",0,N
JR 69RS,N,NO 69 CAR ON RECORD,0,N
MACS 10,N,"MACS IS A TYPE OF VEHICLE, WHICH IS AN OLD TIN NUMBER",0,N
69 CUUGR,Y,COULDN'T VERIFY 1969 VEHICLE,1,N
WEST OG,N,OG,0,N
BGREDII,Y,RED=GANG COLOR,1,N
P TWN,N,P DOWN,0,N
TF CEO,N,TF=TOO FUCKING LARGE FOR A SMALL BUSINESS,0,N
DODO BBY,Y,DODO CAN BE ANOTHER WORD FOR VAGINA,1,N
69 GROWL,Y,NO 69 CAR ON RECORD,1,N
TERRI B,Y,STANDALONE B,1,N
12FURY,Y,FURY,1,N
HUF4RTD,N,HUSTLER FOR REALTOR,0,N
JDWAFU,N,WAFU=WIDE ASS FUCK YOU,0,N
SCHLAFR,N,SCHLAF=SHIT,0,N
BREZZZZ,Y,BREEZY,1,Y
IH8UALL,N,HOSTILE-HAT,0,N
STOOGTZ,N,GOOGLE SEARCH REVEALS AN OLD ENGINE WHICH IS GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE GOOGLE,0,N
FA18,N,18=hate symbol,0,N
DRTY RDR,N,DIRTY RIDER,0,N
G T M F,N,G T MOTHER FUCKER,0,N
TACO SD,N,TACO,0,Y
P NE NP,Y,NP=NOT AVAILABLE ON QUICKWEB YET,1,N
SS4 REL,N,SS FOR REL,0,N
ABBADSS,N,ASS,0,N
TWERK TM,N,TWERK TEAM,0,N
TT 888,N,TT=PENIS IN TAGALOG,0,N
E4MFIA,N,MFIA IS THE AMERICAN ARMY,0,N
HRDHRHR,Y,HARD HERR,1,N
ALE VANE,Y,ALEVA,1,N
MAG SPTN,N,MACHINE SHOOTING,0,N
OHGDDMN,N,OH GOD DAMN,0,N
RED ROGR,Y,RED ROGER,1,N
WTFFA2O,N,WHAT THE FUCK,0,N
PSP FTW,N,FTW,0,N
ABDUCTE,N,ABDUCTE=ASSHOLE BACKWARDS,0,N
WHYTRSH,N,WHY TRASH,0,N
YEEY831,N,AREA CODE,0,N
VMHCATF,Y,VULGAR-CAT F,1,N
OMYDAMN,N,DAMN,0,N
CHOLO47,N,CHOLO IS A SLANG TERM FOR A PERSON OF AMERICAN DESCENT,0,N
CHEEKSS,Y,CHEEKS IS ANOTHER WORD FOR VAGINA,1,N
LA BULLY,N,BULLY,0,N
LH8,Y,HATE,1,N
TNTGAME,Y,TNT GAME,1,N
SVDBY8 8,N,88=HATE SYMBOL,0,N
MADR8RS,Y,MADRID RACERS,1,Y
DAM GRP,N,DAMN,0,N
M3KILRR,N,KILLER,0,N
818UGGY,N,818 AREA CODE,0,N
53OH SHH,N,530 = AREA CODE,0,N
BRWN BYZ,N,BROWN BOYS,0,N
SPITZ O1,Y,SPITZ=SLANG FOR VAGINA,1,N
VQ ASSS,N,VQ AS IN FUCK,0,N
ABAADMF,N,MF MOTHER FUCKER,0,N
BAMFN 69,N,BAM FUCKING,0,N
FGT4YOU,N,FGT=FUCK YOU,0,N
1976 MFZ,N,MOTHER FUCKER,0,N
SASSYB2,N,SASSY BITCH TOO,0,N
EFFINRT,N,FUCKIN' RIGHT,0,N
PLCE BOX,N,BOX,0,N
ASO5228,N,ASO=ASSHOLE BACKWARDS,0,N
WHY H8T,Y,HATE,1,N
HPARMRY,N,HORSEPOWER,0,Y
E ST LOS,N,LOS ANGELES,0,N
KYZAKSS,N,"KIZAKS IS A TYPE OF PUSSY, OFFENSIVE",0,N
CAST31O,N,AREA CODE,0,N
EVL BCH,N,BCH=BITCH,0,N
TBLSTI,N,TBL STANDS FOR TOM BLESSED WHICH IS A RACIST TERM FOR A PERSON OF AMERICAN DESCENT,0,N
LTSTLKR,N,LITTLE STALKER,0,N
HTRD LIN,Y,HOSTILE-HATERED,1,N
WITCH13,N,"13=GANG NUMBER, NO 2013 CAR ON ANI",0,N
AKJMS16,Y,"AK IS A GUN, JMS IS A TYPE OF GUN",1,N
KIN KOON,N,KOON=VAGINA,0,N
PTBLNK1,N,"PT=PUSSY, BLNK=BLACK, BLNK=BLACK, BLNK=BLACK, BLNK=BLACK, BLNK=BLACK, BLNK=BLACK, BLNK=BLACK, BLNK=BLACK, BLNK=BLACK, BLNK=BLACK, BLNK=BLACK, BLNK=BLACK, BLNK=BLACK, BLNK=BLACK, BLNK=BLACK,",0,N
RSTY AF,N,AF-AS FUCK,0,N
YOGA 88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
CUPAH8Z,N,SUCK UP A HATES,0,N
15 RAM,Y,"15=GANG NUMBER, NO 2015 CAR",1,N
PINTO13,N,"13=GANG NUMBER, NO 2013 CAR ON ANI",0,N
DAGMAR D,Y,"D=DICK, NO DICK ON ANI",1,N
MALPDGO,Y,MALPEDO CAN BE ANOTHER WORD FOR VAGINA,1,N
619,N,619 AREA CODE,0,N
2BOM1WO,Y,TOO BOMB,1,N
2BIG 4UA,N,TOO BIG FOR YOU,0,N
6FIDDY,Y,FIDDY,1,N
5GJJS2O,N,20=GANG,0,N
KLTS 17,N,"KLTS IS A TYPE OF VEHICLE, KLTS IS A TYPE OF VEHICLE, KLTS IS A TYPE OF VEHICLE, KLTS IS A TYPE OF VEHICLE, KLTS IS A TYPE OF VEHICLE, KLTS IS A TYPE OF VEHICLE, KLTS IS A TYPE OF VEHICLE, KLTS IS A TYPE OF VEHICLE, K",0,N
GUNSLNG,N,GUN,0,N
OFFRD18,Y,18=hate symbol,1,N
BANNR18,Y,18=hate symbol,1,N
KEW 88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
BNRPLJ,N,BUNNER PLAYER,0,Y
BALL 188,N,188=HATE SYMBOL,0,N
F&CK,N,FUCK,0,N
CRMPY88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
URSLWAF,N,YOU'RE SLOW AS FUCK,0,N
B TACO,N,TACO,0,Y
BACKDR,N,BACK DRIVE,0,N
DEDFRNZ,N,DEDFRNZ IS A TYPE OF FILTHY ARMY ARMY ARMY ARMY ARMY ARMY ARMY ARMY ARMY ARMY,0,N
BSD,N,BSD=BITCH,0,N
BKFAIRS,Y,BK CAN STAND FOR BITCH,1,N
Z7Z777Z,N,LOOK ALIKE,0,N
5SLO KLR,N,KILLER,0,N
5 OHH,Y,5OH=PENIS IN TAGALOG,1,N
SMALBOX,Y,BOX,1,N
$YUYU14,N,"14=HATE SYMBOL, NO 2014 CAR",0,N
DRKHELL,Y,DRUG REFERENCE,1,N
C63S311,N,AREA CODE,0,N
FOCKO,N,FUCK,0,N
MS DDD,Y,DDD=DICK,1,N
MY MNTNS,Y,MY MONEY,1,N
BLP,Y,BLP=BLOW LIPS OR BITCH,1,N
SKN5FAN,N,SKINNED FAN,0,N
MTOWN OG,N,OG,0,N
POOHER,N,POO=PUSSY,0,N
MADMAC,Y,"MAD MAC, SEXUAL REFERENCE",1,N
JAP Z4M,N,"JAP IS ANOTHER WORD FOR JAPANESE, ANOTHER WORD FOR PENIS",0,N
6 JEFES 5,N,JEFE=GANGSTER,0,N
9O9ONE,N,AREA CODE,0,N
1ILLE,N,ONEILLE,0,N
ALHH,N,ALL HEAD,0,N
SM STYLN,Y,STYLING,1,Y
1BWHNTR,Y,BWH CAN STAND FOR BITCH,1,N
/FISHNFU/,N,FISHING FOR FUCK YOU,0,N
DRT DOLL,Y,DOLL,1,N
CHNGN22,N,CHINGON IS A TERM USED FOR A PERSON OF CHINESE DESCENT,0,N
YES 88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
MAGKL D,N,MAGKILL D,0,N
MATT5,N,"MATT, SEXUAL REFERENCE",0,N
8A911,N,ATE A 911,0,N
TGOD RAW,N,RAW CAN BE ANOTHER WORD FOR A PENIS,0,N
F TESLA,N,FUCK TESLA,0,N
DKHRS2,Y,DARK HORSE,1,N
LEWEY G,Y,G AS IN GANGSTER,1,N
BRN C5H8,N,HATE,0,N
G SQUAD,N,G AS IN GANGSTER,0,N
SS 95,Y,"SS, no Chevy on ANI",1,Y
HOERNER,N,HOERNER,0,N
CA JAMF,N,MF- MOTHER FUCKER,0,N
HUSSE 1,Y,HUSSE=VAGINA,1,N
11O4DGO,N,11O4 DIEGO,0,N
BGN THOT,N,BANGING THOT,0,N
235O7R1,N,LOOK ALIKE,0,N
FERND&G,Y,FERNDALE AND G,1,Y
PDBLULN,N,PD-POLICE DEPT.,0,N
MSDAMNR,N,DAMN,0,N
HKSS A88,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N
BJ$YFLL,Y,BJ=BITCH,1,N
7ONE4,N,714 AREA CODE,0,N
JYNRDIE,N,JINDER DIE,0,N
TRPNBLS,N,TROPICAL BALLS,0,N
BADXBOY,Y,BAD X BOY,1,N
VFXSHOT,Y,VFX SHOT,1,Y
TRD4PRO,Y,"TRD IS SIMILAR TO TURD, PRO IS ANOTHER WORD FOR PENIS",1,N
UCLA 888,Y,UCLA 888,1,N
WHTWSHD,N,WHAT THE WHITE SHED,0,N
LAHOOD1,Y,HOOD IS ANOTHER WORD FOR PENIS,1,N
SSCRUDE,N,SCRUEDE,0,N
CA MERC,N,MERC=GUN,0,N
2V FTW,N,FTW,0,Y
MR TTS,N,TITS,0,N
J2OH14G,N,"14=HATE SYMBOL, NO 2014 CAR",0,N
BRAR 18,N,18=hate symbol,0,N
IH8 EVIL,Y,HATE,1,N
BBCHUB5,Y,BEACH BEACH HUBBY,1,Y
ZHY2288,Y,"88=HATE SYMBOL, NO 88 CAR ON ANI",1,N
KIKZGAZ,Y,KIKS GAS,1,N
ZO6 MOB,N,MOB,0,N
NURS916,N,916 AREA CODE,0,N
SUX IT,N,SUCK IT,0,N
8B8888B,N,88 = HATE NUMBER,0,N
JVCKLYN,N,JVC KILLIN,0,N
2PELANA,N,TOO PLANA,0,N
