plate,status,predicted_meaning,label,predicted,plate_length,plate_has_numbers,plate_has_letters,plate_has_spaces,plate_has_special,num_digits,num_letters,num_spaces,meaning_length,meaning_word_count,has_sexual,has_hate,has_gang,has_drug,has_violence,has_police,has_area_code,status_binary,predicted_binary,error_type,kmeans_cluster
FQFNEV,N,FUCKEN EVIL,0,N,6,False,True,False,False,0,6,0,11,2,True,False,False,False,False,False,False,0,0,Correct,2
BNEKING,N,BONE KING,0,Y,7,False,True,False,False,0,7,0,9,2,False,False,False,False,False,False,False,0,1,False Positive,1
PIPI XIA,N,PIPI=PENIS IN TAGALOG,0,N,8,False,True,True,False,0,7,1,21,3,True,False,True,False,False,False,False,0,0,Correct,5
F GATORS,N,FUCK GATORS,0,N,8,False,True,True,False,0,7,1,11,2,True,False,False,False,False,False,False,0,0,Correct,2
88 BAE,N,"88=HATE SYMBOL, NO 88 CAR ON ANI",0,N,6,True,True,True,False,2,3,1,32,7,False,True,False,False,False,False,False,0,0,Correct,0
BCWOODI,Y,"WOODY, GANG REFERENCE",1,N,7,False,True,False,False,0,7,0,21,3,False,False,True,False,False,False,False,1,0,False Negative,5
77WEN14,N,"14=HATE SYMBOL, NO 2014 CAR ON ANI",0,N,7,True,True,False,False,4,3,0,34,7,False,True,False,False,False,False,False,0,0,Correct,0
VHAPPY,Y,VERY HAPPY,1,Y,6,False,True,False,False,0,6,0,10,2,False,False,False,False,False,False,False,1,1,Correct,1
RCFNFST,N,RC FUCKIN FAST,0,N,7,False,True,False,False,0,7,0,14,3,True,False,False,False,False,False,False,0,0,Correct,2
KRPTNGT,Y,"KRAPT NG, KRAPT NG IS ANOTHER WORD FOR PENIS",1,N,7,False,True,False,False,0,7,0,44,9,True,False,False,False,False,False,False,1,0,False Negative,2
WILD OKY,Y,WILD OKIE,1,Y,8,False,True,True,False,0,7,1,9,2,False,False,False,False,False,False,False,1,1,Correct,1
88JRWIN,N,"88=HATE SYMBOL, NO 1988 CAR ON ANI",0,N,7,True,True,False,False,2,5,0,34,7,False,True,False,False,False,False,False,0,0,Correct,0
BIGG DZ,N,BIG DICK,0,N,7,False,True,True,False,0,6,1,8,2,True,False,False,False,False,False,False,0,0,Correct,2
ZIN RED,Y,RED,1,N,7,False,True,True,False,0,6,1,3,1,False,False,False,False,False,False,False,1,0,False Negative,1
